TransDate,DailyUnits
0,5
1,1
2,15
3,17
4,9
5,12
6,7
7,11
8,2
9,9
10,10
11,9
12,16
13,32
14,22
15,4
16,21
17,29
18,37
19,27
20,21
21,12
22,4
23,16
24,16
25,29
26,29
27,28
28,5
29,7
30,29
31,27
32,9
33,37
34,23
35,14
36,10
37,22
38,12
39,16
40,18
41,27
42,9
43,14
44,20
45,26
46,18
47,22
48,25
49,18
50,12
51,21
52,12
53,6
54,23
55,26
56,14
57,4
58,18
59,24
60,28
61,19
62,17
63,13
64,5
65,15
66,18
67,12
68,19
69,20
70,5
71,12
72,14
73,27
74,37
75,23
76,26
77,32
78,11
79,26
80,27
81,14
82,19
83,20
84,9
85,14
86,34
87,32
88,40
89,32
90,27
91,32
92,12
93,41
94,39
95,28
96,31
97,20
98,22
99,4
100,31
101,35
102,40
103,42
104,22
105,15
106,47
107,35
108,36
109,29
110,29
111,28
112,7
113,38
114,24
115,50
116,35
117,47
118,26
119,19
120,37
121,39
122,40
123,40
124,22
125,22
126,24
127,38
128,29
129,26
130,18
131,32
132,13
133,23
134,26
135,49
136,34
137,32
138,35
139,24
140,26
141,31
142,47
143,20
144,28
145,21
146,28
147,5
148,4
149,28
150,36
151,31
152,19
153,29
154,30
155,36
156,47
157,29
158,37
159,31
160,18
161,30
162,46
163,31
164,55
165,33
166,24
167,15
168,16
169,36
170,27
171,44
172,31
173,30
174,42
175,14
176,53
177,49
178,52
179,38
180,66
181,28
182,3
183,4
184,32
185,55
186,45
187,36
188,26
189,18
190,53
191,44
192,59
193,68
194,28
195,41
196,8
197,35
198,62
199,33
200,51
201,56
202,37
203,16
204,41
205,57
206,42
207,42
208,37
209,8
210,8
211,26
212,31
213,36
214,38
215,49
216,17
217,3
218,39
219,50
220,47
221,50
222,40
223,14
224,2
225,33
226,34
227,40
228,57
229,51
230,16
231,2
232,38
233,28
234,54
235,42
236,33
237,20
238,23
239,49
240,41
241,35
242,22
243,18
244,3
245,4
246,2
247,30
248,41
249,53
250,49
251,32
252,11
253,46
254,46
255,29
256,31
257,34
258,25
259,7
260,30
261,32
262,37
263,55
264,19
265,17
266,12
267,29
268,30
269,28
270,33
271,47
272,15
273,7
274,29
275,43
276,43
277,39
278,22
279,19
280,3
281,34
282,32
283,35
284,22
285,33
286,12
287,16
288,19
289,19
